name;price;image_url;quantity;description;category;tax;power
name;price;image_url;quantity;description;category;tax;power
WHISKEY BUSHMILLS 12YO TEQUILA CASK 52,8% 0,7L PUSZKA;399.00;https://alkoholeswiata24.pl/gfx/mini/1668433495.9405.jpg, https://alkoholeswiata24.pl/gfx/1668433495.9405.jpg;10;Whiskey Bushmills Tequila Cask 12 YO 0,7l 52,8%;whisky zachodnie;1;Moc:52,8%
WHISKY CHITA SINGLE GRAIN 0,7L 43%  JAPONIA;289.90;https://alkoholeswiata24.pl/gfx/mini/1481207116.5207.jpg, https://alkoholeswiata24.pl/gfx/1481207116.5207.jpg;0;Whisky Chita Single Grain 0,7l 43%;whisky wschodnie;1;Moc:43%
WHISKY HATOZAKI 12YO UMESHU CASK FINISH 0,7L 46% JAPONIA;434.90;https://alkoholeswiata24.pl/gfx/mini/1675174233.052.jpg, https://alkoholeswiata24.pl/gfx/1675174233.052.jpg;2;Whisky Hatozaki 12 YO Umeshu Cask Finish 0,7l 46%;whisky wschodnie;1;Moc:46%
WHISKY HIBIKI JAPANESE HARMONY 0,7L 43%  JAPONIA;699.00;https://alkoholeswiata24.pl/gfx/mini/1597303221.3834.jpg, https://alkoholeswiata24.pl/gfx/1597303221.3834.jpg;1;;whisky wschodnie;1;Moc:43%
WHISKEY BUSHMILLS 16YO 0,7L 40%          IRLANDIA;309.00;https://alkoholeswiata24.pl/gfx/mini/1481207408.4423.jpg, https://alkoholeswiata24.pl/gfx/1481207408.4423.jpg;0;;whisky zachodnie;1;Moc:40%
WHISKY KOURO PURE MALT 43% 0,7L;242.00;https://alkoholeswiata24.pl/gfx/mini/1651140971.4385.jpg, https://alkoholeswiata24.pl/gfx/1651140971.4385.jpg;0;;whisky wschodnie;1;Moc:43%
WHISKEY BUSHMILLS 10YO 0,7L 40%  TUBA  IRLANDIA;161.90;https://alkoholeswiata24.pl/gfx/mini/1698240051.221.jpg, https://alkoholeswiata24.pl/gfx/1698240051.221.jpg;5;;whisky zachodnie;1;Moc:40%
WHISKEY BUSHMILLS BLACK 0,7L 40% + 2 SZKLANKI;135.90;https://alkoholeswiata24.pl/gfx/mini/1663768438.8254.jpg, https://alkoholeswiata24.pl/gfx/1663768438.8254.jpg;4;Whiskey Bushmills Black 0,7l 40% + 2 szklankami;whisky zachodnie;1;Moc:40%
WHISKEY BUSHMILLS 10YO 0,7L 40% +SZKL. IRLANDIA;169.90;https://alkoholeswiata24.pl/gfx/mini/1698241950.3132.jpg, https://alkoholeswiata24.pl/gfx/1698241950.3132.jpg;1;WHISKEY BUSHMILLS MALT 10YO 0,7L 40% +SZKL. IRLANDIA;whisky zachodnie;1;Moc:40%
WHISKY PAUL JOHN SINGLE MALT 0,05L 55,2% MINIATURKA;27.90;https://alkoholeswiata24.pl/gfx/mini/1696935738.9746.jpg, https://alkoholeswiata24.pl/gfx/1696935738.9746.jpg;0;Whisky Paul John Single Malt 50ml miniaturka 55,2%;whisky wschodnie;1;Moc:55,2%
WHISKEY BOURBON BLENDED MOTOR 0,5L 40%;54.89;https://alkoholeswiata24.pl/gfx/mini/1677663077.8837.jpg, https://alkoholeswiata24.pl/gfx/1677663077.8837.jpg;10;"produkowana z oryginalnej amerykańskiej receptury z 1930 roku.  ""Bursztynowe złoto"", czyli bourbon charakteryzuje się bogatym smakiem uzupełnione pikantnymi nutami. W składzie znajdziemy co najmniej 51% słodu kukurydzianego. Beczki używane do starzenia są wcześniej wypalane, co wpływa na pikantny aromat trunku.  Bourbon Blended Motor cechuje bursztynowy kolor i elegancki aromat wanilii i cynamonu. W smaku whiskey jest słodka, ale uzupełniona akcentem pikantnych przypraw. . Świetna whiskey na imprezy, 18 nastkę czy dla barmanów. Bourbon Blended Motor zamknięty jest w butelką o pojemności 0,5 litra i mocą 40% ABV.";whisky zachodnie;1;Moc:40%
