name;price;image_url;quantity;description;category;tax;power
SZAMPAN DOM PERIGNON 1961 0,75L B/W;9900.00;https://alkoholeswiata24.pl/gfx/mini/1661174732.0125.jpg, https://alkoholeswiata24.pl/gfx/1661174732.0125.jpg;1;;dom perigon;1;Moc: 0%
SZAMPAN ARMAND DE BRIGNAC BLANC DE BLANC PIK 12,5% 0.75L SKRZYNKA;3999.00;https://alkoholeswiata24.pl/gfx/mini/1594968924.561.jpg, https://alkoholeswiata24.pl/gfx/1594968924.561.jpg;1;Jeden z najlepszych szampanów świata w swojej odsłonie Blanc de Blanc czyli skomponowany jedynie z białej odmiany winogron -Chardonnay. Delikatny, lekki i świeży, z charakterystycznym dla tego szczepu owocem i kwiatowymi nutami. Wyczuwalne, delikatne aromaty wanilii, owoców cytrusowych i suszonych moreli. Długi,złożony finisz. Piękna perlistość i elegancki, świeży posmak. Wszystkie etykiety dla każdej butelki Armand de Brignac są wykonane z prawdziwej cyny, polerowane i nakładane ręcznie. Każda butelka jest zapakowana w czarne drewniane pudełko upominkowe, które uzupełnia opakowanie, które przemawia za jakością szampana Armand de Brignac i dbałością o każdy etap jego realizacji. Apelacja: AOC Champagne, Kraj: Francja,  Region: Champagne, Producent: Armand De Brignac, Kolor: Białe, Smak: Wytrawne, Poj.: 0.75, Zaw. Alk. %: 12.5;armand de brignac;1;Moc:12,5%
SZAMPAN DOM PERIGNON 2013 0,75L KARTON;1290.00;https://alkoholeswiata24.pl/gfx/mini/1675693684.4803.jpg, https://alkoholeswiata24.pl/gfx/1675693684.4803.jpg;3;Szampan Dom Perignon Vintage 2013 0,75l;dom perigon;1;Moc: 0%
SZAMPAN ARMAND DE BRIGNAC BRUT GREEN PIK 12,5% 0.75L SKRZYNKA;2349.00;https://alkoholeswiata24.pl/gfx/mini/1594976423.3451.jpg, https://alkoholeswiata24.pl/gfx/1594976423.3451.jpg;0;;armand de brignac;1;Moc:12,5%
SZAMPAN DOM PERIGNON 2006 ROSE LADY GAGA 0,75L KARTON;2399.00;https://alkoholeswiata24.pl/gfx/mini/1669707227.4141.jpg, https://alkoholeswiata24.pl/gfx/1669707227.4141.jpg;0;Szampan Dom Perignon Rose Lady Gaga 2006 0,75l;dom perigon;1;Moc: 0%
SZAMPAN ARMAND DE BRIGNAC BRUT GOLD PIK 12,5% 0.75L SKRZYNKA;2148.99;https://alkoholeswiata24.pl/gfx/mini/1594979277.7951.jpg, https://alkoholeswiata24.pl/gfx/1594979277.7951.jpg;1;Wszystkie etykiety dla każdej butelki Armand de Brignac są wykonane z prawdziwej cyny, polerowane i nakładane ręcznie.  Każda butelka jest zapakowana w czarne drewniane pudełko upominkowe, które uzupełnia opakowanie, które przemawia za jakością szampana Armand de Brignac i dbałością o każdy etap jego realizacji.;armand de brignac;1;Moc:12,5%
SZAMPAN ARMAND DE BRIGNAC ROSE PIK 12,5% 0.75L WOREK;2989.99;https://alkoholeswiata24.pl/gfx/mini/1663834218.5418.jpg, https://alkoholeswiata24.pl/gfx/1663834218.5418.jpg;1;Szampan Armand De Brignac Rose Pik 12,5% 0,75l;armand de brignac;1;Moc:12,5%
