name;price;image_url;quantity;description;category;tax;power
WINO AMARONE DELLA VALPOLICELLA CORTE GIARA LA GROLETTA CZ/W 0,75L WŁOCHY;199.90;https://alkoholeswiata24.pl/gfx/mini/1675941578.3101.jpg, https://alkoholeswiata24.pl/gfx/1675941578.3101.jpg;2;;wino czerwone;1;Moc: 0%
WINO ARIS JOHANNITER 11,5% 0,75L B/W;59.50;https://alkoholeswiata24.pl/gfx/mini/1660202964.2384.jpg, https://alkoholeswiata24.pl/gfx/1660202964.2384.jpg;0;Białe wytrawne wino produkowane w regionalnej winnicy Aris mieszczącej się w Krośnie Odrzańskim. Winnica swój debiut miała w 2021 roku i bardzo szybko zyskała uznanie wśród koneserów win. Pomimo małego doświadczenia zdobyła wiele medali i wyróżnień m.in. srebro oraz brąz na Międzynarodowych Targach wina w Krakowie.  Wino produkowane jest z niemieckiego szczepu Johaniter, charakterem zbliżone do Rieslenga. Uwodzi swoim lekkim, orzeźwiającym smakiem i przyjemnym owocowym aromatem. Zabutelkowane z mocą 11,5%. Najlepiej podawać schłodzone w towarzystwie ryb, owoców morza i lekkich dań z ryżem. Dobre również jako aperitif. : Świeży i owocowy. Owoce sadu w połączeniu z delikatną kwasowością.  : Orzeźwiający z akcentami owoców. Wyczuwalne jabłka i morele z nutą nektarynki i kwaskowatej białej porzeczki.;wino białe;1;Moc:11,5%
WINO ARIS CHARDONNAY 11,5% 0,75L B/PW;93.90;https://alkoholeswiata24.pl/gfx/mini/1660201695.9946.jpg, https://alkoholeswiata24.pl/gfx/1660201695.9946.jpg;4;;wino białe;1;Moc:11,5%
WINO ARIS BIANCA 12,5% 0,75L B/W;59.50;https://alkoholeswiata24.pl/gfx/mini/1660139348.6938.jpg, https://alkoholeswiata24.pl/gfx/1660139348.6938.jpg;0;;wino białe;1;Moc:12,5%
WINO APOLLO - FALTER MULLER BIO 0,75L B/W 11%;32.90;https://alkoholeswiata24.pl/gfx/mini/1646912778.3588.jpg, https://alkoholeswiata24.pl/gfx/1646912778.3588.jpg;0;;wino białe;1;Moc:11%
WINO AMARONE AMAREGIS  DELLA VALPOLICELLA DOCG RISERVA 16% 0,7L CZ/W;249.00;https://alkoholeswiata24.pl/gfx/mini/1683279976.4214.jpg, https://alkoholeswiata24.pl/gfx/1683279976.4214.jpg;2;Wino Amarone Amaregis Della Valpolicella Riseva DOCG - wino włoskie czerwone, wytrawne  , produkowane w regionie Veneto we Włoszech. Posiada apelację  . Produkowane jest ze starannie wyselekcjonowanych winogron szczepów  , poddanych procesowi podsuszania. Po fermentacji wino jest wlane do dużych dębowych beczek, gdzie dojrzewa przez okres 4 lat. Posiada przepiękny rubinowy kolor z granatowymi przebłyskami oraz przyjemną, jedwabistą strukturę. Wino Amarone Amaregis Della Valpolicella Riseva DOCG - noty degustacyjne : Czarne porzeczki, suszone owoce, nuta przypraw. : Krągłe i aksamitne. Ciemne owoce leśne, porzeczki. : Długi i wielowymiarowy. Wino Amarone Amaregis Della Valpolicella Riseva najlepiej podawać do pieczonego mięsa, dziczyzny i dojrzałych serów.;wino czerwone;1;Moc:16%
WINO ALTOS IBERICOS CRIANZA 2016 RIOJA 0,75L CZ/W 14%;49.99;https://alkoholeswiata24.pl/gfx/mini/1668686013.4284.jpg, https://alkoholeswiata24.pl/gfx/1668686013.4284.jpg;0;Wino Altos Ibericos Crianza Rioja 2016 czerwone, wytrawne 0,75l 14%;wino czerwone;1;Moc:14%
WINO ALPHA ESTATE XINOMAVRO CZ/W 0,75L 14% GRECJA;72.90;https://alkoholeswiata24.pl/gfx/mini/1664195589.2013.jpg, https://alkoholeswiata24.pl/gfx/1664195589.2013.jpg;2;Wino Alpha Estate Xinomavro czerwone, wytrawne 0,75l 14% Grecja;wino czerwone;1;Moc:14%
WINO ARIS JOHANNITER ORANGE 11,5% 0,75L B/W;69.50;https://alkoholeswiata24.pl/gfx/mini/1684835549.443.jpg, https://alkoholeswiata24.pl/gfx/1684835549.443.jpg;1;Wino Aris Johanniter Orange 2021 - wino regionalne białe, wytrawne  , znajdującej się w Osiecznicy koło Krosna Odrzańskiego (województwo Lubuskie). Powstaje w 100% z wyselekcjonowanych winogron szczepu Johanniter, zabutelkowane w 2021 roku z mocą 12,5% abv.   swój kolor zawdzięcza macerowaniu na skórkach gron przez 21 dni. To wysokiej jakości, regionalne wino dla smakoszy wytrawnych win.  Wino Aris Johanniter Orange - noty degustacyjne : Suszone jabłka, morele. : Orzeźwiający, jabłka, pomarańcze, nuta przypraw.  : Długi i świeży.;wino białe;1;Moc:11,5%
WINO BADAGONI ALAZANI VALLEY 0.75L B/PS;34.50;https://alkoholeswiata24.pl/gfx/mini/1586440604.1079.jpg, https://alkoholeswiata24.pl/gfx/1586440604.1079.jpg;0;Wino Badagoni Alazani Valley 0,75l B/Ps;wino białe;1;Moc: 0%
WINO AVELEDA VINHO VERDE DOC B/PW;34.50;https://alkoholeswiata24.pl/gfx/mini/1548754812.6463.jpg, https://alkoholeswiata24.pl/gfx/1548754812.6463.jpg;0;;wino białe;1;Moc: 0%
WINO ATTILA WHITE CUVEE B/S 1L;26.99;https://alkoholeswiata24.pl/gfx/mini/1698069258.7267.jpg, https://alkoholeswiata24.pl/gfx/1698069258.7267.jpg;1;Wino Attila White Cuvee białe, słodkie 1l;wino białe;1;Moc: 0%
WINO ASKANELI QVEVRI RKATSITELI B/W 0,75L GRUZJA;54.89;https://alkoholeswiata24.pl/gfx/mini/1614967528.3359.jpg, https://alkoholeswiata24.pl/gfx/1614967528.3359.jpg;3;;wino białe;1;Moc: 0%
