name;price;image_url;quantity;description;category
WÓDKA OVII Z POMIDORAMI 0,7L 40%;119.00;https://alkoholeswiata24.pl/gfx/mini/1698755418.6458.jpg, https://alkoholeswiata24.pl/gfx/1698755418.6458.jpg;6;Wódka Ovii z Pomidorami 0,7l  to pierwsza i jedyna  na polskim rynku! Powstaje z wysokiej jakości spirytusu żytniego, który wraz z owocami poddany jest 10 godzinnej destylacji. Podczas jednej destylacji powstaje 275 butelek, a każda z nich zawiera między 200 a 300 gram owoców. Wódka cechuje się niepowtarzalnym, mocno nasyconym smakiem pomidorów. W aromacie znajdziemy niuanse zupy pomidorowej ze śmietanką. Smak jest wyrazisty z nutami suszonych pomidorów i cebuli.  Można ją degustować samodzielnie, w temperaturze pokojowej lub schłodzoną. To trunek który zrobi furorę na każdej imprezie. Zaskocz siebie i swoich znajomych czymś unikalnym i ciesz się niepowtarzalnym smakiem dojrzałych pomidorów o każdej porze roku!;wodki owocowe
WÓDKA  WOLF & OAK ŚLIWKOWA 0,7L 38%;94.99;https://alkoholeswiata24.pl/gfx/mini/1621014465.8518.jpg, https://alkoholeswiata24.pl/gfx/1621014465.8518.jpg;4;;wodki smakowe
WÓDKA OKOWITA PIRCHER WILLIAMS 0,7L 40%;99.00;https://alkoholeswiata24.pl/gfx/mini/1629708350.5332.jpg, https://alkoholeswiata24.pl/gfx/1629708350.5332.jpg;0;Wódka Okowita Pircher Williams 0,7l 40%  W swojej długiej, sięgającej początków XIII wieku tradycji, wywodząca swe korzenie z działaności klasztornej destylarnia Pircher pozostała wierna temu powiedzeniu.  Wiliams to najstarszy, sztandarowy produkt Pircher’a. Do jego produkcji używane są najlepsze, tylko w pełni dojrzałe gruszki, a kolor i zapach są calkowicie naturalne. Należy do grupy digestiv’ów – alkoholi podawanych po posiłku.;wodki owocowe
WÓDKA  WOLF & OAK POMARAŃCZÓWKA 0,7L 47%;124.89;https://alkoholeswiata24.pl/gfx/mini/1621014375.2924.jpg, https://alkoholeswiata24.pl/gfx/1621014375.2924.jpg;3;;wodki smakowe
WÓDKA KOSKENKORVA RASPBERRY 0,7L 37,5%;74.89;https://alkoholeswiata24.pl/gfx/mini/1683888915.1923.jpg, https://alkoholeswiata24.pl/gfx/1683888915.1923.jpg;10;produkowana w Finlandii. Powstaje z wysokiej jakości spirytusu zbożowego, aromatyzowana kombinacją słodkich malin i świeżych pączków sosny. Wódka jest w pełni ekologiczna i naturalna. Zabutelkowana z mocą 37,5% abv. Świetnie sprawdzi się do drinków owocowych. Można ją pić bez schłodzoną jako shot.;wodki owocowe
WÓDKA ABSOLUT WILD BERRI 38% 0,7L;65.99;https://alkoholeswiata24.pl/gfx/mini/1690803022.0093.jpg, https://alkoholeswiata24.pl/gfx/1690803022.0093.jpg;2;Wódka Absolut Wild Berri  (Berri) to nowa edycja znanej na całym świecie wódki produkowanej w Szwecji. Produkowana wyłącznie z  - wysokiej jakości pszenicy ozimej i krystalicznej wody. Nie zawiera cukru ani sztucznych barwników.  . Charakteryzuje się orzeźwiającym smakiem owoców leśnych: jeżyn, poziomek i jagód. Doskonałe połączenie słodyczy i świeżych, soczystych owoców.  Absolut Wild Berri to wódka polecana w szczególności do  . Zabutelkowana z mocą 38% abv. Pić mocno schłodzoną.;wodki smakowe
WÓDKA KOSKENKORVA LEMON LIME YARROW 0,7L 37,5%;68.00;https://alkoholeswiata24.pl/gfx/mini/1698060450.8667.jpg, https://alkoholeswiata24.pl/gfx/1698060450.8667.jpg;3;Wódka Koskenkorva Lemon Lime 0,7l Koskenkorva Original to wysokiej jakości wódka bio, destylowana w zachodniej Finlandii. To w pełni ekologiczna wódka, 100% ziarna jest wykorzystywane i nic nie jest marnowane. Powstaje z najlepszego jęczmienia i krystalicznej wody źródlanej. Przy produkcji wykorzystywane jest paliwo odnawialne, które pozwoliło zredukować emisję dwutlenku węgla o ponad 50%. Koskenkorva powstała w 1953 roku i jest jedyną na całym świecie wódką, której nazwa jest taka sama jak wioski gdzie jest produkowana. Koskenkorva Lemon Lime to orzeźwiająca lekka wódka z dodatkiem limonki, cytryny i krwawnika. Świetnie smakuje schłodzona, podana w kieliszku lub jako składnik orzeźwiających, letnich do koktajli.;wodki owocowe
WÓDKA KOSKENKORVA BLUEBERRY JUNIPER 0,7L 37,5%;68.00;https://alkoholeswiata24.pl/gfx/mini/1698060051.1351.jpg, https://alkoholeswiata24.pl/gfx/1698060051.1351.jpg;5;Wódka Koskenkorva Blueberry Juniper 0,7l Koskenkorva Original to wysokiej jakości wódka bio, destylowana w zachodniej Finlandii. To w pełni ekologiczna wódka, 100% ziarna jest wykorzystywane i nic nie jest marnowane. Powstaje z najlepszego jęczmienia i krystalicznej wody źródlanej. Przy produkcji wykorzystywane jest paliwo odnawialne, które pozwoliło zredukować emisję dwutlenku węgla o ponad 50%. Koskenkorva powstała w 1953 roku i jest jedyną na całym świecie wódką, której nazwa jest taka sama jak wioski gdzie jest produkowana. Wódka Koskenkorva Blueberry Juniper aromatyzowana jest amerykańskimi borówkami i jagodami jałowca. Doskonale oddaje charakter lasów skandynawskich.  W smaku wódka Koskenkorva jest łagodna i delikatna. Świetnie smakuje schłodzona, podana w kieliszku lub jako składnik do koktajli.;wodki owocowe
WÓDKA KLASZTORNA WIŚNIÓWKA 40% 0,5L;44.80;https://alkoholeswiata24.pl/gfx/mini/1645455773.971.jpg, https://alkoholeswiata24.pl/gfx/1645455773.971.jpg;7;Wzbogacony karaibskim rumem wysokiej jakości likier wiśniowy. Powstaje z sześciokrotnie filtrowanego polskiego alkoholu zbożowego i krystalicznej wody.  Pyszny smak polskich dorodnych wiśni i pestek.;wodki owocowe
WÓDKA APSINTHION DE LUXE 0,2L 55%;59.00;https://alkoholeswiata24.pl/gfx/mini/1646819189.2506.jpg, https://alkoholeswiata24.pl/gfx/1646819189.2506.jpg;0;;wodki smakowe
WÓDKA KAMO TROPICAL 0,7L 40%;176.00;https://alkoholeswiata24.pl/gfx/mini/1687856497.9383.jpg, https://alkoholeswiata24.pl/gfx/1687856497.9383.jpg;2;Wódka Kamo Tropical  Kamo Tropical Vodka Premium to wysokiej jakości wódka o smaku owoców tropikalnych. Produkowana w Wielkiej Brytanii, destylowana siedem razy. Orzeźwiający trunek, w którego skład wchodzi aż 9 owoców, między innymi pomarańcza, ananas, kiwi, gujawa, marakuja i liczi.  Doskonała wódka do picia bez dodatków lub do mieszania w egzotycznym drinku.;wodki owocowe
WÓDKA APSINTHION DE LUX 0,5L 55% ZESTAW SZKLANKA+ŁYŻECZKA;119.90;https://alkoholeswiata24.pl/gfx/mini/1646817542.5201.jpg, https://alkoholeswiata24.pl/gfx/1646817542.5201.jpg;0;• Połóż na łyżce dwie kostki cukru i powoli wlewaj Apsinthion (50 ml) do szklanki tak, aby po nich spływał. • Ostrożnie podpal kostki i poczekaj aż cukier się stopi. • Dodaj 50 ml schłodzonej wody, wlewając tak, by cukier rozpuścił się.;wodki smakowe
WÓDKA KAMO REDBERRY 0,7L 40%;176.00;https://alkoholeswiata24.pl/gfx/mini/1687854474.7369.jpg, https://alkoholeswiata24.pl/gfx/1687854474.7369.jpg;3;Wódka Kamo Redberry KAMO Vodka Premium to wysokiej jakości, elegancka wódka premium produkowana w Wielkiej Brytanii. Poddana jest siedmiokrotnej destylacji, co wpłynęło na niezwykle gładki i aksamitny charakter trunku. W aromacie mocno owocowa, intensywne nuty czerwonych jagód. Na podniebieniu orzeźwiająca, lekka i delikatnie słodka.  Soczysta wódka Kamo Redberry doskonale będzie komponować się w orzeźwiających drinkach z sokami z czerwonych owoców.;wodki owocowe
WÓDKA APSINTHION DE LUX 0,5L 55%;104.89;https://alkoholeswiata24.pl/gfx/mini/1680179886.4356.jpg, https://alkoholeswiata24.pl/gfx/1680179886.4356.jpg;3;o zawartości alkoholu 55% stworzony dzięki starodawnej, tradycyjnej metody. Produkowany jest na bazie najwyższej jakości polskiego spirytusu z krystalicznej wody, naturalnych destylatów z piołunu, anyżu z dodatkiem mięty i kolendry.  Pojawiają się też informacje, że trunek powstał pod koniec XVII w. w Szwajcarii, gdzie niejaka Pani Henriode zbierała zioła i sporządzała z nich eliksir, który następnie był sprzedawany przez miejscowego lekarza.   podobno był dla nich natchnieniem i inspiracją. Możliwe, że to dzięki niemu powstały niesamowite obrazy i dzieła literackie.  : Zielony, akwamaryna. : Anyż, lukrecja, cukierki : Pikantny, bardzo lukrecjowy, mało słodki. : Średni do długiego, dominuje anyż.;wodki smakowe
WÓDKA PRAVDA COCONUT 0,7L 37,5%;124.89;https://alkoholeswiata24.pl/gfx/mini/1676886127.2196.jpg, https://alkoholeswiata24.pl/gfx/1676886127.2196.jpg;4;Wódka Pravda Coconut 0,7l 37,5%;wodki owocowe
WÓDKA APSINTHION BLACK 0,5L 55%;59.99;https://alkoholeswiata24.pl/gfx/mini/1656501866.7639.jpg, https://alkoholeswiata24.pl/gfx/1656501866.7639.jpg;0;XVIII wieku w Szwajcarii i wiemy, że był natchnieniem wielu artystów przy tworzeniu dzieł muzycznych, literackich oraz obrazów bowiem Apsinthion to trunek, który pobudza zmysły.;wodki smakowe
WÓDKA APPLE 1233 0,7L 40% KARTON;190.00;https://alkoholeswiata24.pl/gfx/mini/1678965899.0233.jpg, https://alkoholeswiata24.pl/gfx/1678965899.0233.jpg;0;"Wódka 1233 Apple Vodka - wódka jabłkowa   Nazwa ""1233"" nawiązuje do roku, w którym Toruń otrzymał prawa miejskie. Toruńskie Wódki Gatunkowe, które już od ponad 130 lat zajmują się produkcją alkoholi postanowili upamiętnić to wydarzenie wytwarzając jedyną i niepowtarzalną wódkę jabłkową.  Produkowana z wysokiej jakości, wielokrotnie destylowanego spirytusu zbożowego oraz . Charakteryzuje się delikatnym smakiem słodkich jabłek i długim, rozgrzewającym finiszem. To wspaniała propozycja, która przypadnie do gustu każdemu lubującemu się w wysokoprocentowych alkoholach.  Luksusowa wódka 1233 Apple Vodka została zamknięta drewnianym korkiem w elegancką butelkę o pojemności 0,7 litra i czarny kartonik.";wodki smakowe
WÓDKA WOLF & OAK RZEMIEŚLNICZA CYTRNOWA 0,7L 40%;115.90;https://alkoholeswiata24.pl/gfx/mini/1700568848.8195.jpg, https://alkoholeswiata24.pl/gfx/1700568848.8195.jpg;3;Wódka Wolf & Oak Rzemieślnicza Cytrynowa Wódka Rzemieślnicza Cytrynowa od polskiego producenta Wolf & Oak to doskonałe połączenie wódki żytniej z dojrzałymi cytrynami. W smaku wódka jest delikatnie słodka i świeża. W aromacie wspaniałe nuty domowej lemoniady. Zamknięta z mocą 40% ABV.  Wódka Cytrynowa Wolf & Oak świetnie sprawdzi się na upalne dni podana na lodzie i idealnie rozgrzeje w zimowe dni wypita w temperaturze pokojowej. Można ją spożywać samodzielnie lub dodać do ulubionego koktajlu, gdzie nada wspaniałego orzeźwienia.;wodki owocowe
WÓDKA ADAM MICKIEWICZ ŻURAWINA 0,5L 30%;34.00;https://alkoholeswiata24.pl/gfx/mini/1701167857.0588.jpg, https://alkoholeswiata24.pl/gfx/1701167857.0588.jpg;5;Wódka Adam Mickiewicz Żurawina 0,5l;wodki smakowe
WÓDKA ŚLIWOWICA TATRZAŃSKA KRZEPKA 65% 0,5L;129.00;https://alkoholeswiata24.pl/gfx/mini/1621420456.8858.jpg, https://alkoholeswiata24.pl/gfx/1621420456.8858.jpg;0;;wodki owocowe
WÓDKA BIAŁY BOCIAN CYTRYNA 0,5L 30% + SZKLANKA;29.99;https://alkoholeswiata24.pl/gfx/mini/1667820730.9871.jpg, https://alkoholeswiata24.pl/gfx/1667820730.9871.jpg;0;Wódka Biały Bocian Cytryna 0,5l 30% + szklanka;wodki smakowe
WÓDKA STOCK PRESTIGE MARAKUJA 37,5% 0,5L;40.50;https://alkoholeswiata24.pl/gfx/mini/1683191999.7371.jpg, https://alkoholeswiata24.pl/gfx/1683191999.7371.jpg;3;Wódka Stock Prestige Marakuja (Passionfruit) 0,5l 37,5% . Dostępna w pojemności 0,5 litra i mocy 37,5% abv w dobrej cenie. . Marakuja to kwaśny i świeży owoc, dlatego taki dodatek pozwala tworzyć niepowtarzalne, egzotyczne koktajle. Świetna wódka na imprezy, spotkania w gronie przyjaciół, lub do rozkoszowania się pysznym napitkiem w domowym zaciszu.;wodki owocowe
WÓDKA STOCK PRESTIGE MANGO 37,5% 0,5L;40.50;https://alkoholeswiata24.pl/gfx/mini/1683190904.8367.jpg, https://alkoholeswiata24.pl/gfx/1683190904.8367.jpg;1;Wódka Stock Prestige Mango 0,5l 37,5%  Charakteryzuje się łagodnym smakiem, który zawdzięcza sześciokrotnemu procesowi destylacji. Kolejnym atutem jest dość  , dlatego dostępna jest na każdą kieszeń.  jednak równie dobrze smakuje podana solo, bez żadnych dodatków. Świetna do barów i restauracji, a także na imprezy typu 18-nastka, urodziny czy spotkania w gronie przyjaciół i rodziny.;wodki owocowe
WÓDKA BIMBER STARZONY Z MIODEM 0,7L 40% + 2 KIELISZKI;239.00;https://alkoholeswiata24.pl/gfx/mini/1680165027.8268.jpg, https://alkoholeswiata24.pl/gfx/1680165027.8268.jpg;3;Wódka Bimber Starzony z Miodem 0,7l 40% + 2 kieliszki;wodki smakowe
WÓDKA SMARDUCH ŻYTNIA OGÓREK ZIELONY 0,7L 41%;104.89;https://alkoholeswiata24.pl/gfx/mini/1678881319.3895.jpg, https://alkoholeswiata24.pl/gfx/1678881319.3895.jpg;0;Wódka Smarduch Żytnia Ogórek Zielony - wódka smakowa ogórkowa  Powstaje z organicznego BIO spirytusu z polskiego żyta i destylatu z macerowanych ogórków. Jego premiera była w 2021 roku i szybko zyskała uznanie na polskim rynku.  Jeśli poszukujesz niepowtarzalnego, ciekawego trunku wódka Żytnia Ogórkowa Smarduch będzie dobrym wyborem! Jest super bazą do tworzenia orzeźwiających drinków i koktajli, które cudownie zgaszą pragnienie.;wodki owocowe
WÓDKA BIMBER RÓŻANY SARNA 37,5% 0,5L;69.50;https://alkoholeswiata24.pl/gfx/mini/1680181065.7936.jpg, https://alkoholeswiata24.pl/gfx/1680181065.7936.jpg;3;Wódka Bimber Różany Sarna 0,5l 37,5% Wódka smakowa Bimber Różany Sarka produkowana jest według tradycyjnych metod oddając charakter polskiego bimbru. Charakteryzuje się przyjemnym, doskonale zbalansowanym smakiem słodkich owoców z aromatem płatków róży.  Bimber Różany Sarna podawać schłodzony.;wodki smakowe
WÓDKA BIMBER ORYGINALNY GŁUSZEC 45% 0,5L;69.50;https://alkoholeswiata24.pl/gfx/mini/1625047795.479.jpg, https://alkoholeswiata24.pl/gfx/1625047795.479.jpg;1;;wodki smakowe
WÓDKA SMARDUCH ŻYTNIA MANDARYNKOWA 0,7L 41%;101.91;https://alkoholeswiata24.pl/gfx/mini/1678877244.8586.jpg, https://alkoholeswiata24.pl/gfx/1678877244.8586.jpg;0;Wódka Smarduch Żytnia Mandarynkowa - wódka smakowa rzemieślnicza . Powstaje w wyniku połączenia wódki z polskiego żyta i naturalnego destylatu ze słodkich, świeżych mandarynek.  . Dobra na imprezy, kiedy chcesz zaskoczyć znajomych wyjątkowym alkoholem. . Doskonale smakuje podana solo, bez dodatków. Jej charakter doceni każde podniebienie, zwłaszcza tych smakoszy, którzy poszukują oryginalnych, ale zarazem naturalnych smaków.  Wódka o pojemności 0,7 litra i mocy 41% ABV. Zapoznaj się również z;wodki owocowe
WÓDKA BIMBER GRUSZKOWY LIS 40% 0,5L;69.50;https://alkoholeswiata24.pl/gfx/mini/1624949439.3771.jpg, https://alkoholeswiata24.pl/gfx/1624949439.3771.jpg;0;Wódka Bimber Gruszkowy Lis 40% 0,5l;wodki smakowe
WÓDKA SMARDUCH ŻYTNIA MALINOWA 0,7L 41%;104.89;https://alkoholeswiata24.pl/gfx/mini/1614847649.5052.jpg, https://alkoholeswiata24.pl/gfx/1614847649.5052.jpg;0;Wódka Smarduch Żytnia Malinowa - wódka smakowa malinowa  Powstaje w polskiej destylarni Smarduch Family Distillery. W jej skład wchodzi   i naturalny destylat ze słodkich, czerwonych malin.  . To doskonała wódka do tworzenia niepowtarzalnych drinków, jak i picia bez żadnych dodatków.  Zamknięta w butelkę o pojemności 0,7 litra z mocą 41% ABV.  Z czym pić Wódkę Malinową Smarduch? Zamiast wydawać krocie w barze na drinki, sam możesz zostać barmanem, to nic trudnego! Poniżej propozycje drinków na bazie Wódki Żytniej Malinowej: - 40 ml wódka Smarduch Malinowa - 20 ml  - 20 ml  - dopełnić  - 40 ml wódka Smarduch Malinowa - 20 ml blue curacao  - 20 ml  - dopełnić cydrem gruszkowym;wodki owocowe
WÓDKA SASKA CZERWONA PORZECZKA 25% 0,5L;30.50;https://alkoholeswiata24.pl/gfx/mini/1627292570.0595.jpg, https://alkoholeswiata24.pl/gfx/1627292570.0595.jpg;2;Wódka Saska Czerwona Porzeczka 30% 0,5l;wodki owocowe
WÓDKA BIAŁY BOCIAN WIŚNIA 0,5L 30% + SZKLANKA;29.99;https://alkoholeswiata24.pl/gfx/mini/1635156515.1359.jpg, https://alkoholeswiata24.pl/gfx/1635156515.1359.jpg;0;Wódka Biały Bocian Wiśnia 0,5l 30% + szklanka;wodki smakowe
WÓDKA PRAVDA RASPBERRY 0,7L 37,5%;129.90;https://alkoholeswiata24.pl/gfx/mini/1687353029.5148.jpg, https://alkoholeswiata24.pl/gfx/1687353029.5148.jpg;2;Wódka Pravda Raspberry Pravda Vodka Raspberry to polska wódka klasy ultra-premium produkowana od sześciu pokoleń z wyselekcjonowanego zboża i krystalicznej, górskiej wody. Destylowana pięciokrotnie, bardzo łagodna i aksamitna. Zabutelkowana z mocą 37,5% abv. Przyjemna, z naturalnymi aromatami malin. Świetna do degustacji solo jak i do koktajli.;wodki owocowe
WÓDKA BIAŁY BOCIAN ŚLIWKA 30% 0,5L + SZKLANKA;29.99;https://alkoholeswiata24.pl/gfx/mini/1667819146.4813.jpg, https://alkoholeswiata24.pl/gfx/1667819146.4813.jpg;0;Wódka Biały Bocian Śliwka 0,5l 30% + szklanka;wodki smakowe
WÓDKA PRAVDA PINEAPPLE 0,7L 37,5%;124.89;https://alkoholeswiata24.pl/gfx/mini/1676887888.0373.jpg, https://alkoholeswiata24.pl/gfx/1676887888.0373.jpg;0;Wódka Pravda Pineapple 0,7l 37,5%;wodki owocowe
WÓDKA BIAŁY BOCIAN CZARNA PORZECZKA 0,5L 30% + SZKLANKA;29.99;https://alkoholeswiata24.pl/gfx/mini/1667819322.8233.jpg, https://alkoholeswiata24.pl/gfx/1667819322.8233.jpg;0;Wódka Biały Bocian Czarna Porzeczka 0,5l 30% + szklanka;wodki smakowe
WÓDKA ZAJENBISTA WIŚNIOWA 40% 0,5L;73.00;https://alkoholeswiata24.pl/gfx/mini/1690885660.1772.jpg, https://alkoholeswiata24.pl/gfx/1690885660.1772.jpg;0;Wódka Zajenbista Wiśniowa 0,5l Wódka Zajenbista Wiśniowa to tradycyjna wódka smakowa o smaku wiśni. Produkowana na bazie maceratu ze świeżych owoców wiśni z dodatkiem czeremchy. To jedna z niewielu wódek wiśniowych na polskim rynku. Zabutelkowana z mocą 40% abv. Najlepiej pić solo lub na lodzie.;wodki owocowe
WÓDKA BOLS CINNAMON 0,7L 40%;57.00;https://alkoholeswiata24.pl/gfx/mini/1689255488.7209.jpg, https://alkoholeswiata24.pl/gfx/1689255488.7209.jpg;5;Wódka Bols Cinnamon Wódka Bols Cinnamon to czysta wódka z dodatkiem przyprawy cynamonu. Produkowana ze spirytusu zbożowego, wielokrotnie destylowana w celu uzyskania gładkiego smaku alkoholu. Świetna do drinków. Najlepiej pić z sokiem jabłkowym lub colą. Jedyna wódka cynamonowa na polskim rynku!;wodki smakowe
WÓDKA ŻUBRÓWKA DZIKA CZEREŚNIA 0,5L 32%;27.50;https://alkoholeswiata24.pl/gfx/mini/1656421990.7673.jpg, https://alkoholeswiata24.pl/gfx/1656421990.7673.jpg;0;Nowa edycja popularnej wódki żubrówki z źdźbłem trawy w połączeniu z aromatami dzikich owoców. Prezentowana tu Dzika Czereśnia dostarcza wspaniałej owocowej słodyczy, która idealnie łączy się z nutą cierpkości.  Niezmienna receptura opartej o macerat z trawy żubrowej, wyselekcjonowane owoce i źdźbło trawy oraz leżakowanie wódki w dębowych beczkach pozwala uzyskać głęboki i mocny charakter zapewniając niesamowite wrażenia.;wodki owocowe
WÓDKA ŻOŁĄDKOWA GORZKA RZEŚKA ARBUZ Z LIMONKĄ 28% 0,09L;10.90;https://alkoholeswiata24.pl/gfx/mini/1664971209.2317.jpg, https://alkoholeswiata24.pl/gfx/1664971209.2317.jpg;0;Wódka Żołądkowa Gorzka Rześka arbuz z limonką 0,09l 28%;wodki owocowe
WÓDKA CIROC COCONUT 37,5% 0,7L;169.99;https://alkoholeswiata24.pl/gfx/mini/1537364448.8915.jpg, https://alkoholeswiata24.pl/gfx/1537364448.8915.jpg;2;;wodki smakowe
WÓDKA ZIELONOGÓRSKA ŚLIWOWICA 55% 0,5L;94.99;https://alkoholeswiata24.pl/gfx/mini/1636540541.8933.jpg, https://alkoholeswiata24.pl/gfx/1636540541.8933.jpg;10;Absolutna premiera wódki wyprodukowanej specjalnie dla Fire & Ice Alkohole Świata. Wódka Zielonogórska Śliwowica wspaniały symbol Zielonej Góry- największego miasta w województwie lubuskim. Z racji niewielkich zniszczeń wojennych została tutaj cała przedwojenna zabudowa wiejska. Kultura w Zielone Górze to przede wszystkim Winobranie, które jak co roku od wielu lat organizowane jest we wrześniu i przyciąga tłumy ludzi. Dzięki naszej pasji i zamiłowaniu do miejsca w którym mieszkamy powstała wódka Zielonogórska, trunek w mocno ograniczonej ilości a etykieta tej partii przedstawia domek winiarski, powstały w 1818 roku na wzgórzu winnym, który niegdyś należał do Augusta Gremplera- niezwykle znaczącej postaci w historii Zielonej Góry. Ta wódka to nie lada gratka dla miłośników Zielonej Góry oraz wspaniały prezent z podróży w naszych okolicach. *Zdjęcie poglądowe. Aktualnie dostępny rocznik 2023.;wodki owocowe
WÓDKA CHOINKA PIERNIKOWA 32% 0,2L KARTON;42.00;https://alkoholeswiata24.pl/gfx/mini/1665484518.5193.jpg, https://alkoholeswiata24.pl/gfx/1665484518.5193.jpg;10;;wodki smakowe
WÓDKA ZBÓJNICKA WIŚNIOWA 40% 0,5L;69.00;https://alkoholeswiata24.pl/gfx/mini/1700483680.6737.jpg, https://alkoholeswiata24.pl/gfx/1700483680.6737.jpg;6;"Wódka Zbójnicka Wiśniowa Regionalna wódka wiśniowa Zbójecka należąca do firmy ""Wódki Regionalne"". Produkowana z wysokiej jakości naturalnych składników według tradycyjnych beskidzkich receptur. Charakteryzuje się niezwykłym smakiem dojrzałych wiśni. Zamknięta z mocą 40% ABV.  Wódka Zbójnicka Wiśniowa doskonale sprawdzi się na zimowych, górskich wędrówkach. To dobry alkohol do piersiówki, który świetnie rozgrzeje od środka. Można delektować się nim solo, lub dodać do herbaty.";wodki owocowe
WÓDKA CHOINKA PIERNIKOWA 32% 0,2L;35.50;https://alkoholeswiata24.pl/gfx/mini/1665483550.8998.jpg, https://alkoholeswiata24.pl/gfx/1665483550.8998.jpg;0;Wódka Toruńska Choinka Piernikowa 0,2l 32%;wodki smakowe
WÓDKA CHŁOPSKA PĘDZONA SZARLOTKA 0,5L 32%;37.99;https://alkoholeswiata24.pl/gfx/mini/1482188124.5725.jpg, https://alkoholeswiata24.pl/gfx/1482188124.5725.jpg;0;Wódka Chłopska Pędzona Szarlotka 0,5l 32%;wodki smakowe
WÓDKA CASINO CARMEL 0,7L 40%;99.90;https://alkoholeswiata24.pl/gfx/mini/1572862093.5748.jpg, https://alkoholeswiata24.pl/gfx/1572862093.5748.jpg;0;;wodki smakowe
WÓDKA CALM HEAD BLACK 0,7L 40%;72.50;https://alkoholeswiata24.pl/gfx/mini/1688992897.8126.jpg, https://alkoholeswiata24.pl/gfx/1688992897.8126.jpg;3;Wódka Calm Head Black 0,7l 40%;wodki smakowe
WÓDKA CIROC FRENCH VANILLA 38% 0,7L;164.91;https://alkoholeswiata24.pl/gfx/mini/1579007072.7147.jpg, https://alkoholeswiata24.pl/gfx/1579007072.7147.jpg;0;;wodki smakowe
WÓDKA DALKOWSKI NA ZIELONYM PIEPRZU 0,5L 38%;52.90;https://alkoholeswiata24.pl/gfx/mini/1547214489.4629.jpg, https://alkoholeswiata24.pl/gfx/1547214489.4629.jpg;0;Wódka Dalkowski na zielonym pieprzu 0,5l 38%;wodki smakowe
WÓDKA CORDIAL WIŚNIÓWKA  0,5L 40%;42.50;https://alkoholeswiata24.pl/gfx/mini/1649679568.3584.jpg, https://alkoholeswiata24.pl/gfx/1649679568.3584.jpg;0;;wodki smakowe
WÓDKA CORDIAL GRUSZKÓWKA 0,5L 40%;47.00;https://alkoholeswiata24.pl/gfx/mini/1691415198.3472.jpg, https://alkoholeswiata24.pl/gfx/1691415198.3472.jpg;0;Wódka Cordial Gruszkówka - wódka gruszkowa  produkowana przez polską markę Polmos Bielsko-Biała. Powstaje według tradycyjnej 200-letniej receptury, przekazywanej z pokolenia na pokolenie. Wytwarzana z wysokiej jakości składników- wyselekcjonowanego spirytusu, syropu owocowego i soczystych owoców.   charakteryzuje się bogatym bukietem dojrzałych, słodkich owoców.  Doskonały trunek na lato. Pić schłodzone.;wodki smakowe
WÓDKA CIROC RED BERRY 0,7L 37%;169.99;https://alkoholeswiata24.pl/gfx/mini/1482186625.102.jpg, https://alkoholeswiata24.pl/gfx/1482186625.102.jpg;3;;wodki smakowe
WÓDKA CIROC PINEAPPLE 0,7L 37,5%;169.99;https://alkoholeswiata24.pl/gfx/mini/1482186624.9051.jpg, https://alkoholeswiata24.pl/gfx/1482186624.9051.jpg;3;;wodki smakowe
WÓDKA CIROC PEACH 37,5% 0,7L FRANCJA;169.99;https://alkoholeswiata24.pl/gfx/mini/1482186624.7131.jpg, https://alkoholeswiata24.pl/gfx/1482186624.7131.jpg;0;;wodki smakowe
WÓDKA DANZKA CRANBERRY& RASPBERRY 0,7L 40%;59.90;https://alkoholeswiata24.pl/gfx/mini/1615497643.2765.jpg, https://alkoholeswiata24.pl/gfx/1615497643.2765.jpg;0;Wódka Danzka Cranberry & Raspberry 0,7l 40%;wodki smakowe
WÓDKA DĘBOWA ORZECH OSLO 0,7L 40%;79.99;https://alkoholeswiata24.pl/gfx/mini/1672835120.705.jpg, https://alkoholeswiata24.pl/gfx/1672835120.705.jpg;0;Wódka Dębowa Orzech Oslo 0,7l 40%;wodki smakowe
WÓDKA DĘBOWA ORZECH KARAFKA 0,7L 40% PUDEŁKO;134.99;https://alkoholeswiata24.pl/gfx/mini/1689250765.3142.jpg, https://alkoholeswiata24.pl/gfx/1689250765.3142.jpg;1;Wódka Dębowa Orzech Karafka  w karafce to , który zachwyci każdego konesera mocnych trunków. Wytwarzany według tradycyjnej receptury z najwyższej jakości spirytusu zbożowego, do którego została dodana  . Orzech jest zbierany jeszcze jako niedojrzały, zielony owoc. Wódka Dębowa Orzech w smaku przypomina domową nalewkę orzechową.  . Można ją dodawać do deserów i ciast, gdzie wzbogaci smak każdego deseru.  , dlatego będzie wyjątkowym prezentem na każdą okazję. Butelka została zakorkowana, co tym bardziej wzbudza poczucie, że jest to  . Do karafki został dołączony czarny, ładnie prezentujący się kartonik.;wodki smakowe
