name,price,image_url,product_code,large_image_url,description
"GIN BOMBAY SAPPHIRE PREMIER CRU MURCIAN LEMON 47% 0,7L",157.00,gfx/mini/1695902473.3024.jpg,7640175743642,gfx/1695902473.3024.jpg,"Gin Bombay Sapphire Premium Cru Murcian Lemon  to nowe, wyjątkowe wydanie jednego z najbardziej popularnych na świecie ginów.  . Tym razem prezentuje się w znakomitej edycji  . Produkowany ręcznie i wydawany w małych, limitowanych partiach, jest uhonorowaniem najlepszych cytrusów na świecie pochodzących z Murcji. Do standardowej wersji Bombaya, gdzie znajdują się jagody jałowca i inne rośliny botaniczne zostały dodane ręcznie zbierane i obierane owoce cytrusowe- cytryny Fino oraz mandarynki i pomarańcze  Navel de Murcia. Podczas corocznych zbiorów, korzystając z technik przekazywanych z pokolenia na pokolenie rolnicy zbierają najbardziej dojrzałe owoce i pozwalają im suszyć się w śródziemnomorskim słońcu. Najbardziej aromatyczne, najjaśniejsze owoce są zbierane i przekazywane do produkcji ginu Bombay.  Przy każdej partii Master Distiller Bombaya precyzyjnie dopiera stopień destylacji, aby każda butelka odzwierciedlała piękno regionu Murcji.  . Niezwykła propozycja, którą pokocha każdy koneser ginów. Zabutelkowany z mocą 47% ABV.  Gin Bombay Sapphire Premium Cru Murcian Lemon  dastarcza nieograniczone możliwości komponowania orzeźwiających drinków i koktajli. Tak naprawdę wystarczy dodać sok z jabłek i lód, a otrzymamy niesamowity smak, który podbije każdą imprezę!"
"GIN BOMBAY SAPPHIRE 40% 0,7L + PUSZKA",119.00,gfx/mini/1644484340.4136.jpg,5903178213546,gfx/1644484340.4136.jpg,"GIN BOMBAY SAPPHIRE 40% 0,7L + PUSZKA Gin Bombay Sapphire 40% 0,7 l"
"GIN BOMBAY SAPPHIRE 0,7L 40% +KIELISZEK",114.99,gfx/mini/1619198061.9656.jpg,7610113430323,gfx/1619198061.9656.jpg,"GIN BOMBAY SAPPHIRE 0,7L 40% +KIELISZEK . Wariant 40% przeznaczony jest dla profesjonalistów z branży gin, którzy wolą, aby ich napój był wyjątkowo aromatyczny. Przy tak wysokiej zawartości alkoholu możesz spróbować prawie każdego składnika indywidualnie. Gin  Bombay Sapphire ma własnego Mistrza Botaniki Ivano Tonutti, który jest wyłącznie odpowiedzialny za zaopatrzenie w dziesięć roślin botanicznych. Gin w niebieskiej butelce radzi sobie ze stosunkowo niewielką liczbą składników w przeciwieństwie do wielu innych towarzyszy kategorii. Dziesięć roślin botanicznych ze wszystkich zakątków świata dba o to: jagody jałowca, arcydzięgiel, korzeń irys, migdały, skórki cytryny, cynamonowa kasja, pieprz , lukrecja i kolendra. Z 40% ginem szafirowym Bombay kupujesz napój, który z pewnością Cię nie zawiedzie! W zestawie z pięknym szklanym kieliszkiem."
"GIN BOMBAY SAPPHIRE 0,7L 40%",114.00,gfx/mini/1481207415.9808.jpg,5010677714006,gfx/1481207415.9808.jpg,"Gin Bombay Sapphire 0,7l 40% Jeden z najbardziej popularnych ginów na świecie, produkowany w gorzelni znajdującej się w miasteczku Laverstoke od 1987 roku. W modernistycznych budynkach destylarni hoduje się rośliny używanych do produkcji trunku i udostępniane są do zwiedzania dla turystów. Tego trunku nie da się pomylić z żadnym innym. Elegancka, piękna niebieska butelka ozdobiona etykietą z popiersiem królowej Wiktorii i szlachetnym szafirem na szyjce. Trunek zamknięty w ciekawej puszcze będzie nadawał się idealnie jako prezent. Gin Bombay Sapphire - co jeszcze warto wiedzieć? Unikatowy sposób tworzenia ginu poprzez wyselekcjonowanie dziesięciu ziół i przekazanie go do procesu zwanym ""vapour infusion"" sprawia, że jego smak jest wyjątkowy i niepowtarzalny. Do produkcji wykorzystywany jest 3-krotnie destylowany spirytus pszeniczny oraz zioła: jagody jałowca, nasiona kolendry, lukrecja, migdały, skórka cytrynowa, korzeń dzięgla, rajski pieprz, korzeń irysa, kora cynamonowa i pieprz kubeba, które umieszcza się w miedzianym pojemniku gdzie podczas destylacji para przechodzi przez zioła tworząc subtelny smak.  Gin Bombay Sapphire 40% 0,7 l Idealnie smakuje samodzielnie podany z kostkami lodu, ale również można go dodać do klasycznych drinków na bazie ginu.  Intensywny, wyczuwalne nuty jałowca i cytrusów. Silny, posmak jałowca, ziół, skórki cytrusów i migdałów. Długi i ziołowy, jałowiec ze słodkim, korzennym wykończeniem."
"GIN BOMBAY SAPPHIRE 0,5L 40%",79.00,gfx/mini/1640768782.7795.jpg,5010677713009,gfx/1640768782.7795.jpg,"GIN BOMBAY SAPPHIRE 40% 0,5L Jeden z najbardziej popularnych ginów na świecie, produkowany w gorzelni znajdującej się w miasteczku Laverstoke od 1987 roku. W modernistycznych budynkach destylarni hoduje się rośliny używanych do produkcji trunku i udostępniane są do zwiedzania dla turystów. Tego trunku nie da się pomylić z żadnym innym. Elegancka, piękna niebieska butelka ozdobiona etykietą z popiersiem królowej Wiktorii i szlachetnym szafirem na szyjce.  Unikatowy sposób tworzenia ginu poprzez wyselekcjonowanie dziesięciu ziół i przekazanie go do procesu zwanym ""vapour infusion"" sprawia, że jego smak jest wyjątkowy i niepowtarzalny. Do produkcji wykorzystywany jest 3-krotnie destylowany spirytus pszeniczny oraz zioła: jagody jałowca, nasiona kolendry, lukrecja, migdały, skórka cytrynowa, korzeń dzięgla, rajski pieprz, korzeń irysa, kora cynamonowa i pieprz kubeba, które umieszcza się w miedzianym pojemniku gdzie podczas destylacji para przechodzi przez zioła tworząc subtelny smak.  Gin Bombay Sapphire 40% 0,5 l Idealnie smakuje samodzielnie podany z kostkami lodu, ale również można go dodać do klasycznych drinków na bazie ginu."
"GIN BOCIAN 0,5L 37,5%",40.50,gfx/mini/1651822463.6006.jpg,5900398060639,gfx/1651822463.6006.jpg,"Wódka Gin Bocian 0,5l 37,5%"
"GIN BOMBAY SAPPHIRE SUNSET 43% 0,7L",105.61,gfx/mini/1652702709.6304.jpg,7640175743284,gfx/1652702709.6304.jpg,"Gin Bombay Sapphire Sunset 43% 0,7l"
"GIN BLOOM PASSIONFRUIT & VANILLA 40%  0,7L",129.49,gfx/mini/1624373677.7003.jpg,5010296010763,gfx/1624373677.7003.jpg,
"GIN BLOOM 40% 0,7L",155.00,gfx/mini/1624373692.7114.jpg,5010296169249,gfx/1624373692.7114.jpg,
"GIN CUBICAL MANGO 0,7L 37,5%",174.00,gfx/mini/1582286356.5159.jpg,8410028902293,gfx/1582286356.5159.jpg,"Gin Cubical Mango to destylat podpisany przez firmę Williams & Humbert, znaną z produkcji sherry, brandy i innych wódek o międzynarodowej renomie.  Jest to gin wykonany wyłącznie ze starannie wyselekcjonowanej i wysokiej jakości angielskiej pszenicy, która następnie poddawana jest trzem procesom destylacji.  Rezultatem jest gin miękki na podniebieniu i pełen niezwykle złożonych niuansów.  Jego bukiet jest szczególnie przyjemny, dzięki równowadze między elementami botanicznymi, wśród których wyróżniają się jałowiec, bergamotka, pomarańcza i wysoko wybrane owoce tropikalne.  W szczególności dodatek mango pozwala nadać temu likierowi wyjątkowy i niepowtarzalny charakter.  Gin Cubical Mango charakteryzuje się ważnymi nutami cytrusowymi  idealny w połączeniu ze słodkimi potrawami, które mogą stanowić doskonały kontrast.  Ten gin najlepiej jest wyrazić, jedząc orzeźwiające napoje, takie jak gazowane lub mieszane, aby stworzyć oryginalne koktajle."
